id,channel,note,receivedTime,velocity
0,g,61,9661.344893000205,0.07874015748031496
1,A,52,9671.214608999435,0.2677165354330709
2,E,46,9672.189453998726,0.07874015748031496
3,E,40,10621.34235999838,0.7401574803149606
4,A,50,10622.106246999465,0.9133858267716536
5,g,81,10628.52889900023,0.6299212598425197
6,g,63,10643.090892997861,0.4645669291338583
7,d,54,10651.603629998135,0.23622047244094488
8,E,45,10657.551914999203,0.6535433070866141
9,A,52,10788.275538998278,0.8346456692913385
10,b,67,11030.382198998268,0.1968503937007874
11,d,56,11052.155945999402,0.12598425196850394
12,A,52,11227.21107399775,0.8346456692913385
13,d,48,11233.884729997953,0.6692913385826772
14,g,62,11247.025300999667,0.5905511811023622
15,b,67,11248.348381999676,0.4409448818897638
16,E,45,11272.842506998131,0.07874015748031496
17,g,62,11650.17281800101,0.33858267716535434
18,A,52,11668.10946699843,0.5433070866141733
19,E,63,11670.456652998837,0.11811023622047244
20,E,44,11710.217967000062,0.07874015748031496
21,e',68,11875.717584000085,0.15748031496062992
22,b,64,11895.033536999108,0.1968503937007874
23,g,62,11911.840576998657,0.3464566929133858
24,A,70,11930.870746000437,0.07874015748031496
25,A,51,11945.86500999867,0.3937007874015748
26,E,55,11946.8343059998,0.07874015748031496
27,E,47,11962.132998000016,0.4094488188976378
28,E,46,12010.401856998214,0.4094488188976378
29,E,45,12050.593635998666,0.3464566929133858
30,A,48,12079.155284998706,0.30708661417322836
31,E,45,12093.262812999455,0.6220472440944882
32,d,50,12118.681767999078,0.07874015748031496
33,A,50,12123.180255999614,0.2992125984251969
34,E,46,12239.273860999674,0.5905511811023622
35,E,47,12282.815937000123,0.5433070866141733
36,A,71,12376.289775998885,0.4015748031496063
37,E,45,12397.446392998972,0.7559055118110236
38,A,49,12413.39682999751,0.3858267716535433
39,A,50,12456.964988999971,0.41732283464566927
40,A,62,12666.130674999295,0.2283464566929134
41,E,44,12682.318700997712,0.7795275590551181
42,A,47,12733.075285999803,0.07874015748031496
43,E,43,12741.684054999496,0.7322834645669292
44,E,40,12967.277961000946,0.48031496062992124
45,E,45,13008.39158799863,0.5826771653543307
46,E,45,13559.978369998134,0.3779527559055118
47,A,56,13566.09434100028,0.07874015748031496
48,A,50,13579.255435997766,1
49,d,76,13599.634751000849,0.4881889763779528
