id,channel,note,receivedTime,velocity
0,5,71,18376.64121399939,0.07874015748031496
1,5,50,18405.304543997772,0.25984251968503935
2,4,53,18643.265835999046,0.07874015748031496
3,5,50,18663.11697099809,0.8503937007874016
4,4,54,18665.819005997037,0.5905511811023622
5,6,64,18695.344511997973,0.07874015748031496
6,5,52,18920.66592699848,0.889763779527559
7,4,55,20482.640045000153,0.4015748031496063
8,4,57,20719.724116999714,0.33858267716535434
9,4,57,20937.89997699787,0.5826771653543307
10,4,57,21888.512501998775,0.4015748031496063
11,4,55,22004.708282998763,0.4881889763779528
12,4,57,22177.21716699816,0.4409448818897638
13,4,57,22324.51140199919,0.47244094488188976
14,4,55,22595.743060999666,0.29133858267716534
15,4,55,22731.76073799914,0.4645669291338583
16,5,51,23007.435000999976,0.5196850393700787
17,5,50,23132.52400199781,0.4015748031496063
18,5,52,23248.69352099995,0.4094488188976378
19,5,52,23309.476949998498,0.5039370078740157
20,5,53,23829.2986239976,0.3779527559055118
21,5,52,23945.188869998674,0.3700787401574803
22,5,52,24880.692204998923,0.6299212598425197
23,5,51,25021.500024999114,0.5354330708661418
24,5,50,25079.395900000236,0.47244094488188976
25,4,76,25106.907987999875,0.07874015748031496
26,5,50,25146.37288099766,0.36220472440944884
27,5,51,25211.570217998087,0.33858267716535434
28,5,52,25223.161079997226,0.3228346456692913
29,5,50,25391.364462997444,0.5039370078740157
30,6,46,25707.03717699871,0.33858267716535434
31,6,45,26017.99889799804,0.3937007874015748
32,6,46,26281.922031997965,0.2992125984251969
33,6,45,26340.074987998378,0.2992125984251969
34,6,46,26455.68510999874,0.30708661417322836
35,6,45,26530.108377999568,0.29133858267716534
36,6,44,27080.113047999475,0.2283464566929134
37,6,43,27153.988170997764,0.2283464566929134
38,5,71,27227.505277998716,0.07874015748031496
39,6,43,27270.502988998487,0.47244094488188976
40,6,44,27442.346297997574,0.3543307086614173
41,6,45,27471.353024000564,0.4094488188976378
42,5,70,27603.5405099974,0.12598425196850394
43,6,45,27621.08154899761,0.7165354330708661
44,5,50,27630.997402000503,0.2755905511811024
45,5,72,27827.872488996945,0.08661417322834646
